"Scope","Target","Status","OldTitle","NewTitle","Detail","BackupPath"
"index","toys/art-toys-and-editions/index.html","Updated","Charlie Grin Sunflower - Electric Strawberry (+NFT)","Shocking Sunflower - Charlie Grin Electric Strawberry (+NFT)","Updated card for items/electric-strawberry-charlie-grin-sunflower-nft-1009.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Charlie Grin Shocking Sunflower (Silver)","Shocking Sunflower - Charlie Grin  (Silver)","Updated card for items/charlie-grin-shocking-sunflower-silver-1.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Charlie Grin Shocking Sunflower (Bone)","Shocking Sunflower - Charlie Grin  (Bone)","Updated card for items/charlie-grin-shocking-sunflower-bone-281.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Boxing Brian - Black & Gold Glass Jaw","Boxing Brain - Black & Gold Glass Jaw","Updated card for items/black-gold-glass-jaw-147.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Blue Ice Shocking Sunflower - Gold Grin","Shocking Sunflower - Blue Ice Gold Grin","Updated card for items/blue-ice-shocking-sunflower-gold-grin-887.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Blue Ice Shocking Sunflower - Bone Grin","Shocking Sunflower - Blue Ice Bone Grin","Updated card for items/blue-ice-shocking-sunflower-bone-grin-1027.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Atomic Orange Charlie Grin (+NFT)","Charlie Grin - Atomic Orange  (+NFT)","Updated card for items/atomic-orange-charlie-grin-sunflower-nft-1001.html",""
"index","toys/art-toys-and-editions/index.html","Updated","4"" Groovy Mc Supersized (Skull)","MC Supersized Skull - Groovy","Updated card for items/4-groovy-mc-supersized-skull-164.html",""
"index file","toys/art-toys-and-editions/index.html","Written","","","Total card title updates: 52","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\toys\art-toys-and-editions\index.html"
"index file","toys/custom-toys/index.html","No change","","","No matching cards were changed.",""
