"Action","SourceRel","Status","BackupRel","Detail"
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v6-overlaps-20260513-103701.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v6-overlaps-20260513-103701.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v6-report-20260513-103701.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v6-report-20260513-103701.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v7-category-items-20260513-104227.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v7-category-items-20260513-104227.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v7-overlaps-20260513-104227.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v7-overlaps-20260513-104227.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v7-report-20260513-104227.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v7-report-20260513-104227.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-peace-panda-and-action-figure-police-grin-v1-category-items-20260513-103013.csv","Moved","data/generated/create-peace-panda-and-action-figure-police-grin-v1-category-items-20260513-103013.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-peace-panda-and-action-figure-police-grin-v1-report-20260513-103013.csv","Moved","data/generated/create-peace-panda-and-action-figure-police-grin-v1-report-20260513-103013.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-category-items-20260513-105653.csv","Moved","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-category-items-20260513-105653.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-overlaps-20260513-105653.csv","Moved","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-overlaps-20260513-105653.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-report-20260513-105653.csv","Moved","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-report-20260513-105653.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-category-overlap-exceptions-v1-category-items-20260513-110224.csv","Moved","data/generated/fix-art-toy-category-overlap-exceptions-v1-category-items-20260513-110224.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-category-overlap-exceptions-v1-only-rules-20260513-110224.csv","Moved","data/generated/fix-art-toy-category-overlap-exceptions-v1-only-rules-20260513-110224.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-category-overlap-exceptions-v1-report-20260513-110224.csv","Moved","data/generated/fix-art-toy-category-overlap-exceptions-v1-report-20260513-110224.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-category-items-20260513-110800.csv","Moved","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-category-items-20260513-110800.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-report-20260513-110800.csv","Moved","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-report-20260513-110800.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-report-20260513-114127.csv","Moved","data/generated/fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-report-20260513-114127.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-report-20260513-120046.csv","Moved","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-report-20260513-120046.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-sunflower-only-items-20260513-120046.csv","Moved","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-sunflower-only-items-20260513-120046.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-cleanup-v4-report-20260513-085035.csv","Moved","data/generated/fix-art-toys-index-cleanup-v4-report-20260513-085035.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-cleanup-v4-skipped-20260513-085035.csv","Moved","data/generated/fix-art-toys-index-cleanup-v4-skipped-20260513-085035.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-exact-card-edits-v1-report-20260513-085613.csv","Moved","data/generated/fix-art-toys-index-exact-card-edits-v1-report-20260513-085613.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-exact-card-edits-v1-skipped-20260513-085613.csv","Moved","data/generated/fix-art-toys-index-exact-card-edits-v1-skipped-20260513-085613.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-cereal-killers-specific-subcategories-v1-moved-items-20260513-115216.csv","Moved","data/generated/fix-cereal-killers-specific-subcategories-v1-moved-items-20260513-115216.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-cereal-killers-specific-subcategories-v1-report-20260513-115216.csv","Moved","data/generated/fix-cereal-killers-specific-subcategories-v1-report-20260513-115216.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-report-20260513-114858.csv","Moved","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-report-20260513-114858.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-sunflower-only-items-20260513-114858.csv","Moved","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-sunflower-only-items-20260513-114858.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-moved-items-20260513-121231.csv","Moved","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-moved-items-20260513-121231.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-report-20260513-121231.csv","Moved","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-report-20260513-121231.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-broken-images-v1-report-20260513-110931.csv","Moved","data/generated/fix-sculptures-index-broken-images-v1-report-20260513-110931.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-broken-images-v2-report-20260513-111140.csv","Moved","data/generated/fix-sculptures-index-broken-images-v2-report-20260513-111140.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-candidates-20260513-113133.csv","Moved","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-candidates-20260513-113133.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-duplicate-images-20260513-113133.csv","Moved","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-duplicate-images-20260513-113133.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-report-20260513-113133.csv","Moved","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-report-20260513-113133.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-urban-bigfoot-jungle-gold-patina-card-only-v1-report-20260513-085909.csv","Moved","data/generated/fix-urban-bigfoot-jungle-gold-patina-card-only-v1-report-20260513-085909.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/missing-image-matches.csv","Moved","data/generated/missing-image-matches.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/move-mona-lisa-grin-pink-to-mona-grin-v1-report-20260513-122059.csv","Moved","data/generated/move-mona-lisa-grin-pink-to-mona-grin-v1-report-20260513-122059.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-cereal-killers-subcategories-v1-exceptions-20260513-114707.csv","Moved","data/generated/organize-cereal-killers-subcategories-v1-exceptions-20260513-114707.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-cereal-killers-subcategories-v1-report-20260513-114707.csv","Moved","data/generated/organize-cereal-killers-subcategories-v1-report-20260513-114707.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-cereal-killers-subcategories-v1-subcategory-items-20260513-114707.csv","Moved","data/generated/organize-cereal-killers-subcategories-v1-subcategory-items-20260513-114707.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-custom-category-items-20260513-121611.csv","Moved","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-custom-category-items-20260513-121611.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-report-20260513-121611.csv","Moved","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-report-20260513-121611.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-rodent-grin-move-20260513-121611.csv","Moved","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-rodent-grin-move-20260513-121611.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-exceptions-20260513-120942.csv","Moved","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-exceptions-20260513-120942.csv","Existing generated report/data file; not needed on live GitHub Pages site."
