"CurrentTitle","PagePath","CurrentSection","CurrentPlatformCharacter","SuggestedGroup","SuggestedCleanTitle","NeedsReview","Notes","Platform","Character","Series","Manufacturer","Category","Edition","Size","MoneyFormattingFlag","LastModified"
"Lady Lips Kaiju (Drawing)","items/lady-lips-kaiju-drawing-359.html","Custom Toys","","Other / Needs Review","Lady Lips Kaiju (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:07"
"Lady Lips Magenta Cyan Edition","items/lady-lips-magenta-cyan-edition-80.html","Custom Toys","Lady Lips","Other / Needs Review","Lady Lips Magenta Cyan Edition","Yes","No confident suggested group from title/platform/metadata.","Lady Lips","","","","Art toy / edition","50","auto;","","2026-05-12 15:02:07"
"Last Supper in South Park","items/last-supper-in-south-park-30.html","Custom Toys","","Other / Needs Review","Last Supper in South Park","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","150","13.00""","","2026-05-12 15:02:07"
"Last Supper in South Park","items/last-supper-in-south-park-865.html","Custom Toys","","Other / Needs Review","Last Supper in South Park","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","","","2026-05-12 08:45:51"
"Lightbulb Lightning Thinker","items/lightbulb-lightning-thinker-460.html","Custom Toys","Lightbulb Lightning Thinker","Other / Needs Review","Lightbulb Lightning Thinker","Yes","No confident suggested group from title/platform/metadata.","Lightbulb Lightning Thinker","","","","Art toy / edition","","8.00""","","2026-05-12 15:02:07"
"LOVE CLOUD","items/love-cloud-185.html","Custom Toys","","Other / Needs Review","LOVE CLOUD","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","48.00""","","2026-05-12 09:12:29"
"Lucy Dissect","items/lucy-dissect-470.html","Custom Toys","","Other / Needs Review","Lucy Dissect","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","20.00""","","2026-05-12 09:12:30"
"Lucy Exposed","items/lucy-exposed-1019.html","Custom Toys","Lucy Exposed","Other / Needs Review","Lucy Exposed","Yes","No confident suggested group from title/platform/metadata.","Lucy Exposed","","","","Art toy / edition","300","8.00""","","2026-05-12 14:51:29"
"Lucy Exposed - ZacPac Edition","items/lucy-exposed-zacpac-edition-780.html","Custom Toys","Lucy Exposed","Other / Needs Review","Lucy Exposed - ZacPac Edition","Yes","No confident suggested group from title/platform/metadata.","Lucy Exposed","","","","Art toy / edition","100","8.00""","","2026-05-12 15:02:07"
"Mad Glad Boy","items/mad-glad-boy-609.html","Custom Toys","Mad Glad Boy","Other / Needs Review","Mad Glad Boy","Yes","No confident suggested group from title/platform/metadata.","Mad Glad Boy","","","","Art toy / edition","","auto;","","2026-05-12 15:02:07"
"Mad Hatter Figure - Black","items/mad-hatter-figure-black-485.html","Custom Toys","Mad Hatter Figure","Other / Needs Review","Mad Hatter Figure - Black","Yes","No confident suggested group from title/platform/metadata.","Mad Hatter Figure","","","","Art toy / edition","300","12.00""","","2026-05-12 15:02:07"
"Magic PumpGrin (purple)","items/magic-pumpgrin-purple-511.html","Custom Toys","PumpGrin","Other / Needs Review","Magic PumpGrin (purple)","Yes","No confident suggested group from title/platform/metadata.","PumpGrin","","","","Art toy / edition","","auto;","","2026-05-12 15:02:07"
"Magic PumpGrin (Yellow)","items/magic-pumpgrin-yellow-238.html","Custom Toys","PumpGrin","Other / Needs Review","Magic PumpGrin (Yellow)","Yes","No confident suggested group from title/platform/metadata.","PumpGrin","","","","Art toy / edition","","7.00""","","2026-05-12 14:51:29"
"Magma Mousezilla (WF '17)","items/magma-mousezilla-wf-17-588.html","Custom Toys","Mousezilla","Other / Needs Review","Magma Mousezilla (WF '17)","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","25","9.00""","","2026-05-12 14:51:29"
"Marigold XRay MC","items/marigold-xray-mc-1040.html","Custom Toys","X-Ray MC","Other / Needs Review","Marigold XRay MC","Yes","No confident suggested group from title/platform/metadata.","X-Ray MC","","","","Art toy / edition","25","6.00""","","2026-05-12 15:02:07"
"Marilyn Mickeys (Green)","items/marilyn-mickeys-green.html","Custom Toys","","Other / Needs Review","Marilyn Mickeys (Green)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","","","19 × 10 × 9 inches","","2026-05-12 14:23:35"
"Maroon Falla Sheep","items/maroon-falla-sheep-557.html","Custom Toys","Falla Sheep","Other / Needs Review","Maroon Falla Sheep","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:07"
"MC Action","items/mc-action-811.html","Custom Toys","Bootleg Action Figure","Other / Needs Review","MC Action","Yes","No confident suggested group from title/platform/metadata.","Bootleg Action Figure","","","","Art toy / edition","100","auto;","","2026-05-12 15:02:07"
"Mc Elefanka (SDCC '19)","items/mc-elefanka-sdcc-19-939.html","Custom Toys","Elefanka","Other / Needs Review","Mc Elefanka (SDCC '19)","Yes","No confident suggested group from title/platform/metadata.","Elefanka","","","","Art toy / edition","","4.00""","","2026-05-12 15:02:07"
"MC Lover - Clutter","items/mc-lover-clutter-419.html","Custom Toys","MC Lover","Other / Needs Review","MC Lover - Clutter","Yes","No confident suggested group from title/platform/metadata.","MC Lover","","","","Art toy / edition","30","3.00""","","2026-05-12 15:02:07"
"MC Lover - Midnight Edition","items/mc-lover-midnight-edition-589.html","Custom Toys","MC Lover","Other / Needs Review","MC Lover - Midnight Edition","Yes","No confident suggested group from title/platform/metadata.","MC Lover","","","","Art toy / edition","25","3.00""","","2026-05-12 15:02:07"
"Mc Lover - Patriot","items/mc-lover-patriot-323.html","Custom Toys","MC Lover","Other / Needs Review","Mc Lover - Patriot","Yes","No confident suggested group from title/platform/metadata.","MC Lover","","","","Art toy / edition","30","3.00""","","2026-05-12 15:02:07"
"MC Lover - Sunshine","items/mc-lover-sunshine-1016.html","Custom Toys","MC Lover","Other / Needs Review","MC Lover - Sunshine","Yes","No confident suggested group from title/platform/metadata.","MC Lover","","","","Art toy / edition","30","3.00""","","2026-05-12 15:02:07"
"MC Mousezilla","items/mc-mousezilla-132.html","Custom Toys","Mousezilla","Other / Needs Review","MC Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","auto;","","2026-05-12 14:51:30"
"MC Snowglobe Eyes (Drawing)","items/mc-snowglobe-eyes-drawing-1024.html","Custom Toys","","Other / Needs Review","MC Snowglobe Eyes (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:07"
"MC Superhero (SDCC '19)","items/mc-superhero-sdcc-19-903.html","Custom Toys","MC Superhero","Other / Needs Review","MC Superhero (SDCC '19)","Yes","No confident suggested group from title/platform/metadata.","MC Superhero","","","","Art toy / edition","","8.00""","","2026-05-12 15:02:07"
"McTripping","items/mctripping-977.html","Custom Toys","","Other / Needs Review","McTripping","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","150","7.50""","","2026-05-12 08:45:52"
"Meaty Mousezilla (Peeled Off)","items/meaty-mousezilla-peeled-off-262.html","Custom Toys","Mousezilla","Other / Needs Review","Meaty Mousezilla (Peeled Off)","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","9.00""","","2026-05-12 15:02:07"
"Menace Hulk (SDCC '19)","items/menace-hulk-sdcc-19-426.html","Custom Toys","Menace Hulk","Other / Needs Review","Menace Hulk (SDCC '19)","Yes","No confident suggested group from title/platform/metadata.","Menace Hulk","","","","Art toy / edition","","18.00""","","2026-05-12 15:02:07"
"Metallic Purple & Red Lady Lips","items/metallic-purple-red-lady-lips-1076.html","Custom Toys","Lady Lips","Other / Needs Review","Metallic Purple & Red Lady Lips","Yes","No confident suggested group from title/platform/metadata.","Lady Lips","","","","Art toy / edition","","auto;","","2026-05-12 14:51:30"
"Metallic Purple Punk Skunk (SDCC '18)","items/metallic-purple-punk-skunk-sdcc-18-131.html","Custom Toys","Punk Skunk","Other / Needs Review","Metallic Purple Punk Skunk (SDCC '18)","Yes","No confident suggested group from title/platform/metadata.","Punk Skunk","","","","Art toy / edition","","auto;","","2026-05-12 15:02:08"
"Metallica Dots","items/metallica-dots-179.html","Custom Toys","","Other / Needs Review","Metallica Dots","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","24.00""","","2026-05-12 09:12:38"
"Miami Blue Telegrinnies Sunflowers","items/miami-blue-telegrinnies-sunflowers-672.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Miami Blue Telegrinnies Sunflowers","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:30"
"Miami Pink Telegrinnies Sunflowers","items/miami-pink-telegrinnies-sunflowers-663.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Miami Pink Telegrinnies Sunflowers","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:30"
"Mighty MC","items/mighty-mc-776.html","Custom Toys","Mighty MC","Other / Needs Review","Mighty MC","Yes","No confident suggested group from title/platform/metadata.","Mighty MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:30"
"Modzilla - Springtime edition","items/modzilla-springtime-edition-475.html","Custom Toys","Modzilla","Other / Needs Review","Modzilla - Springtime edition","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Art toy / edition","9","13.00""","","2026-05-12 15:02:08"
"MODZILLA - unpainted green","items/modzilla-unpainted-green-189.html","Custom Toys","Modzilla","Other / Needs Review","MODZILLA - unpainted green","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Art toy / edition","","13.00""","","2026-05-12 15:02:08"
"Modzilla (KaijuCon '19)","items/modzilla-kaijucon-19-793.html","Custom Toys","Modzilla","Other / Needs Review","Modzilla (KaijuCon '19)","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Art toy / edition","","auto;","","2026-05-12 14:51:30"
"modzilla Blues Berry","items/modzilla-blues-berry-931.html","Custom Toys","Modzilla","Other / Needs Review","modzilla Blues Berry","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Art toy / edition","","13.00""","","2026-05-12 15:02:08"
"Modzilla Custom","items/modzilla-custom-818.html","Custom Toys","Modzilla","Other / Needs Review","Modzilla Custom","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Custom toy","1","13.00""","","2026-05-12 15:02:08"
"MODZILLA CUSTOM A","items/modzilla-custom-a-736.html","Custom Toys","Modzilla","Other / Needs Review","MODZILLA CUSTOM A","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Custom toy","1","13.00""","","2026-05-12 15:02:08"
"MODZILLA CUSTOM B","items/modzilla-custom-b-526.html","Custom Toys","Modzilla","Other / Needs Review","MODZILLA CUSTOM B","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Custom toy","1","13.00""","","2026-05-12 15:02:08"
"MODZILLA CUSTOM C","items/modzilla-custom-c-210.html","Custom Toys","Modzilla","Other / Needs Review","MODZILLA CUSTOM C","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Custom toy","1","13.00""","","2026-05-12 15:02:08"
"MODZILLA RAINBOW","items/modzilla-rainbow-375.html","Custom Toys","Modzilla","Other / Needs Review","MODZILLA RAINBOW","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Art toy / edition","","13.00""","","2026-05-12 15:02:08"
"MONARCH ELEPHANT","items/monarch-elephant-177.html","Custom Toys","","Other / Needs Review","MONARCH ELEPHANT","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","48.00""","","2026-05-12 09:12:45"
"MONARCH ELEPHANT PROFILE","items/monarch-elephant-profile-498.html","Custom Toys","","Other / Needs Review","MONARCH ELEPHANT PROFILE","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","40.00""","","2026-05-12 09:12:47"
"MONARCH SHIP","items/monarch-ship-594.html","Custom Toys","","Other / Needs Review","MONARCH SHIP","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","48.00""","","2026-05-12 09:12:48"
"Money Print 1","items/money-print-1-860.html","Custom Toys","","Other / Needs Review","Money Print 1","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","","","","2026-05-12 15:02:08"
"Money Print 2","items/money-print-2-32.html","Custom Toys","","Other / Needs Review","Money Print 2","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","","","","2026-05-12 15:02:08"
"Monkey Joseph (Drawing)","items/monkey-joseph-drawing-16.html","Custom Toys","","Other / Needs Review","Monkey Joseph (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","12.00""","","2026-05-12 15:02:08"
